id	cid	author	quoname
1	1	Поль Валери	Никогда не судите о человеке по его друзьям. У Иуды они были безупречны.
2	2	Ноэли Альтито	Кратчайшее расстояние между двумя точками находится на реконструкции.
3	1	Жюль Ренар	Если бы строили дом счастья, самую большую комнату пришлось бы отвести под зал ожидания.
4	2	Принцип Шоу 	Создайте систему, которой сможет воспользоваться даже дурак, и только дурак захочет ею пользоваться.
5	3	Адольф Гитлер	Массы людей скорее поверят в большую ложь, нежели в маленькую.
6	2	Фрэнк Заппа	Два элемента, которые наиболее часто встречаются во Вселенной, - водород и глупость.
7	4	Закон Хеллера	Первый миф относительно управления состоит в том, что оно существует
8	5		Существуют два способа написания безошибочных программ.  И только третий работает.
9	2	Кредо Фингла	Наука - истинна. Не верьте фактам.
10	4		Сегодня - это завтрашний день, о котором вы беспокоились вчера.
11	5		Если за ошибку в расчёте отвечает больше одного человека, виноватых не найти.
12	1	Оскар Уайльд	Единственный способ избавиться от искушения - это поддаться ему.
13	1	Денис Иванович Фонвизин	У кого чаще всех Господь на языке, у того чёрт на сердце.
14	3	Альберт Эйнштейн	Я не знаю каким оружием человек будет вести третью мировую войну, но четвертая будет с палкой и камнем.
15	4	Закон Ван Роя	Любовь с первого взгляда - это величайшее трудосберегающее изобретение, которое мир когда-либо видел.
16	1	Ирвин Уэлш	Говорят, что правда освобождает, но это, по-моему, эгоистичная чушь. Того, кто откровенничает, она, может, и освобождает, а тем, кто слушает, практически всегда приходится страдать.
17	5		Старые программисты никогда не умирают.  Они просто переходят по оператору ветвления на новый адрес.
18	5	Стив Джобс	Невозможно создать хороший продукт, основываясь на опросах людей или пользуясь фокус-группами. Люди сами не знают чего они хотят, пока им это не покажешь.
19	1	Марк Твен	Быть хорошим - это так изнашивает человека!
20	5		В любой иерархической системе каждый служащий стремиться достичь своего уровня некомпетентности.
21	6	Фрэнсис Бэкон	Ковыляющий по прямой дороге опередит бегущего, который сбился с пути.
22	4	Эвелин Холл	Я не согласен ни с одним словом, которое вы говорите, но готов умереть за ваше право это говорить.
23	1	Мэрилин Монро	Карьера - чудесная вещь, но она никого не может согреть в холодную ночь.
24	1	Оскар Уайльд	Любовь к себе - это начало романа, который длится всю жизнь.
25	1	Оскар Уайльд	Все мы погрязли в болоте, но некоторые из нас смотрят на звезды.
26	4	Михаил Николаевич Задорнов	Иногда движение вперед является результатом пинка сзади.
27	1	Льюис Кэрролл	Подумать только, что из-за какой-то вещи можно так уменьшиться, что превратиться в ничто.
28	1	Льюис Кэрролл	Думай о смысле, а слова придут сами.
29	1	Льюис Кэрролл	Знаешь, одна из самых серьезных потерь в битве - это потеря головы.
30	4	Александр Дюма (отец)	Все обобщения опасны, включая это.
31	2	Альберт Эйнштейн	Настоящий признак интеллекта - не знания, а воображение.
32	6	Аристофан	Нельзя научить краба ходить прямо.
33	6	Сократ	Истинное знание - в признании, что ничего не знаешь (я знаю то, что ничего не знаю).
34	6	Эврипид	Кого бог хочет погубить, того он прежде всего лишает разума.
35	6	Конфуций	Выберите себе работу по душе, и вам не придётся работать ни одного дня в своей жизни.
36	2	Томас Хаксли	Великая трагедия науки - уродливый факт способен погубить прекрасную гипотезу.
